q,ID1,ID2,beta,LocalOverlap,RegionalOverlap,Homogeneity,TurnoverComp
0,5.8NR_exdry,3.4NR_exdry,1.42857142857143,0.571428571428571,0.4,0.4,0.571428571428571
0,2.3NR_exdry,3.4NR_exdry,1.55555555555556,0.444444444444444,0.285714285714286,0.285714285714286,0.444444444444444
0,3.14NR_exdry,3.4NR_exdry,1.36842105263158,0.631578947368421,0.461538461538461,0.461538461538461,0.631578947368421
0,1.8NR_exdry,5.8NR_exdry,1.75,0.25,0.142857142857143,0.142857142857143,0.25
0,2.10NR_exdry,1.2NR_exdry,1.71428571428571,0.285714285714286,0.166666666666667,0.166666666666667,0.285714285714286
0,1.2NR_exdry,3.4NR_exdry,1.81818181818182,0.181818181818182,0.1,0.1,0.181818181818182
0,2.3NR_exdry,3.4NR_exdry,1.55555555555556,0.444444444444444,0.285714285714286,0.285714285714286,0.444444444444444
0,5.14NR_exdry,3.14NR_exdry,1.83333333333333,0.166666666666667,0.0909090909090911,0.0909090909090911,0.166666666666667
0,5.8NR_exdry,1.2NR_exdry,1.77777777777778,0.222222222222222,0.125,0.125,0.222222222222222
0,3.14NR_exdry,1.2NR_exdry,1.85714285714286,0.142857142857143,0.0769230769230769,0.0769230769230769,0.142857142857143
0,2.10NR_exdry,3.14NR_exdry,1.73333333333333,0.266666666666667,0.153846153846154,0.153846153846154,0.266666666666667
0,5.8NR_exdry,3.14NR_exdry,1.52941176470588,0.470588235294118,0.307692307692308,0.307692307692308,0.470588235294118
0,5.8NR_exdry,3.14NR_exdry,1.52941176470588,0.470588235294118,0.307692307692308,0.307692307692308,0.470588235294118
0,5.14NR_exdry,5.8NR_exdry,1.71428571428571,0.285714285714286,0.166666666666667,0.166666666666667,0.285714285714286
0,2.3NR_exdry,5.8NR_exdry,1.625,0.375,0.230769230769231,0.230769230769231,0.375
0,2.3NR_exdry,3.14NR_exdry,1.61904761904762,0.380952380952381,0.235294117647059,0.235294117647059,0.380952380952381
0,2.3NR_exdry,2.10NR_exdry,1.57142857142857,0.428571428571429,0.272727272727273,0.272727272727273,0.428571428571429
0,1.8NR_exdry,5.14NR_exdry,1.33333333333333,0.666666666666667,0.5,0.5,0.666666666666667
0,1.2NR_exdry,2.10NR_exdry,1.71428571428571,0.285714285714286,0.166666666666667,0.166666666666667,0.285714285714286
0,2.10NR_exdry,3.14NR_exdry,1.73333333333333,0.266666666666667,0.153846153846154,0.153846153846154,0.266666666666667
0,5.14NR_exdry,5.8NR_exdry,1.71428571428571,0.285714285714286,0.166666666666667,0.166666666666667,0.285714285714286
0,2.3NR_exdry,3.4NR_exdry,1.55555555555556,0.444444444444444,0.285714285714286,0.285714285714286,0.444444444444444
0,2.10NR_exdry,5.14NR_exdry,1.6,0.4,0.25,0.25,0.4
0,5.14NR_exdry,1.8NR_exdry,1.33333333333333,0.666666666666667,0.5,0.5,0.666666666666667
0,2.3NR_exdry,5.8NR_exdry,1.625,0.375,0.230769230769231,0.230769230769231,0.375
0,2.10NR_exdry,2.3NR_exdry,1.57142857142857,0.428571428571429,0.272727272727273,0.272727272727273,0.428571428571429
0,3.4NR_exdry,5.8NR_exdry,1.42857142857143,0.571428571428571,0.4,0.4,0.571428571428571
0,2.3NR_exdry,5.8NR_exdry,1.625,0.375,0.230769230769231,0.230769230769231,0.375
0,1.8NR_exdry,5.8NR_exdry,1.75,0.25,0.142857142857143,0.142857142857143,0.25
0,5.8NR_exdry,2.3NR_exdry,1.625,0.375,0.230769230769231,0.230769230769231,0.375
0,2.10NR_exdry,5.14NR_exdry,1.6,0.4,0.25,0.25,0.4
0,2.10NR_exdry,5.8NR_exdry,1.6,0.4,0.25,0.25,0.4
0,1.2NR_exdry,1.8NR_exdry,1.6,0.4,0.25,0.25,0.4
